year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,2,0.0,1406.0,6.128001765,0.0,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
1998,26,2.730769230769231,3355.3076923076924,11.403732373076924,3.943556299230769,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
1999,117,2.41025641025641,3961.230769230769,11.326210788034187,4.756810683418803,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2000,664,2.9698795180722892,4946.933734939759,11.897573266701805,6.4872499048192775,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2001,1207,2.4979287489643744,5320.711681855841,12.161781972079536,7.101083547854185,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2002,1875,2.5472,5611.6704,12.265494583813336,7.663911442021332,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2003,2349,2.6449553001277137,5797.088548318434,12.167512586249469,7.561778154759473,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2004,2908,2.7162998624484183,5901.616574965612,12.251824936522693,7.780523461918844,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2005,3290,2.6437689969604863,6087.889665653495,12.276271770036475,7.975503107237082,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
2006,4553,2.590819240061498,6167.065012079947,12.294201514985723,8.144819042637822,False,adult;business;education - advertising;business;education - alcoholandtobacco;business;education - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - business;education - business;education;entertainment - business;education;entertainment;shopping - business;education;foodandrecipes - business;education;gambling - business;education;games - business;education;health - business;education;informationtech - business;education;jobrelated - business;education;mediasharing - business;education;messageboardsandforums - business;education;newsandmedia - business;education;realestate - business;education;religion - business;education;searchenginesandportals - business;education;shopping - business;education;socialnetworking - business;education;sports - business;education;streamingmedia - business;education;streamingmedia;travel - business;education;translators - business;education;travel - business;education;vehicles - business;education;weapons - 
