year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,6,0.3333333333333333,2319.1666666666665,9.496812745,0.0,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
1999,14,3.7857142857142856,3116.714285714286,10.672035602142858,3.1291725264285715,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2000,50,3.24,4189.72,10.1444857514,4.9032967822,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2001,54,9.0,6113.777777777777,11.778139457407406,7.29607839462963,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2002,71,7.577464788732394,6336.281690140845,11.675311366338027,7.270816130985915,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2003,82,7.670731707317073,7424.5,12.018326814634149,9.412962532560975,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2004,105,7.352380952380952,8439.085714285715,12.372067605047617,9.478365353904763,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2005,139,6.820143884892087,8415.496402877698,12.264781083741006,9.436487381510792,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2006,189,7.439153439153439,8264.767195767196,12.256911991058201,9.585998653280424,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2007,229,8.091703056768559,8647.799126637554,12.423669391048035,10.218228218253275,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2008,268,7.063432835820896,8317.432835820895,12.317172976156717,10.425754621791043,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
2009,235,6.965957446808511,9297.242553191489,12.751473711489362,11.183637417531916,False,alcoholandtobacco;business;foodandrecipes - blogsandpersonal;business;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - 
