year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,9520.0,11.97235095,14.45898005
1.0,1,1.0,2315.0,10.47999817,
0.0,1,0.0,5205.0,11.45407297,13.86744224
0.0,4,0.0,3737.0,11.45407297,13.86744224
0.3333333333333333,3,0.3333333333333333,3620.333333,12.91847438,14.36255379
0.5,4,0.5,4298.0,12.80719273,14.33829136
0.6666666666666666,6,0.6666666666666666,4272.333333,10.81737419,14.45806446
0.7142857142857143,7,0.7142857142857143,4621.142857,11.08822972,14.62575577
0.75,8,0.75,4280.5,11.43368874,14.64941154
0.6,5,0.6,5740.6,12.20927571,14.64941154
0.8571428571428571,7,0.8571428571428571,7774.857143000001,11.52053021,14.13052533
1.0,4,1.0,14129.5,12.83068602,14.64941154
1.0,4,1.0,12062.75,12.39487724,14.77430116
